institution,city,state,type,debt
California College of the Arts,San Francisco,CA,Private,35503
Methodist University,Fayetteville,NC,Private,33211
Olivet College,Olivet,MI,Private,26872
Daytona State College,Daytona Beach,FL,Public,2483
Martin Luther College,New Ulm,MN,Private,26791
Earlham College,Richmond,IN,Private,26103
University of Montevallo,Montevallo,AL,Public,29968
Texas A & M University-Corpus Christi,Corpus Christi,TX,Public,17748
Western Michigan University,Kalamazoo,MI,Public,35204
Susquehanna University,Selinsgrove,PA,Private,40455
Graceland University-Lamoni,Lamoni,IA,Private,44984
Anderson University,Anderson,SC,Private,32609
Towson University,Towson,MD,Public,27610
Piedmont College,Demorest,GA,Private,30559
Colby-Sawyer College,New London,NH,Private,40767
Framingham State University,Framingham,MA,Public,31465
Utica College,Utica,NY,Private,30402
Concordia University-Irvine,Irvine,CA,Private,32809
Saint Edward's University,Austin,TX,Private,37559
Reinhardt University,Waleska,GA,Private,32384
Florida Institute of Technology,Melbourne,FL,Private,38943
Amherst College,Amherst,MA,Private,22629
Union College,Schenectady,NY,Private,36921
University of South Carolina-Aiken,Aiken,SC,Public,28176
Rhode Island College,Providence,RI,Public,25936
Chatham University,Pittsburgh,PA,Private,35199
University of Missouri-St Louis,Saint Louis,MO,Public,25110
University of Tulsa,Tulsa,OK,Private,36176
Xavier University,Cincinnati,OH,Private,10348
University of Northern Colorado,Greeley,CO,Public,23967
University of Kentucky,Lexington,KY,Public,33927
University of Providence,Great Falls,MT,Private,26200
The University of Texas at Tyler,Tyler,TX,Public,19691
Texas A & M University-Kingsville,Kingsville,TX,Public,30726
Bridgewater State University,Bridgewater,MA,Public,33367
Hamilton College,Clinton,NY,Private,20582
Stony Brook University,Stony Brook,NY,Public,25678
University of Mary Hardin-Baylor,Belton,TX,Private,34104
Southern Vermont College,Bennington,VT,Private,35728
Hampden-Sydney College,Hampden-Sydney,VA,Private,41316
Northwestern State University of Louisiana,Natchitoches,LA,Public,29793
University of North Florida,Jacksonville,FL,Public,19338
Sul Ross State University,Alpine,TX,Public,13073
Southern Illinois University-Edwardsville,Edwardsville,IL,Public,22610
Morgan State University,Baltimore,MD,Public,46194
Beacon College,Leesburg,FL,Private,27000
Pepperdine University,Malibu,CA,Private,34711
Bethany College,Bethany,WV,Private,27057
San Diego State University,San Diego,CA,Public,21172
Emporia State University,Emporia,KS,Public,22692
University of Maine at Farmington,Farmington,ME,Public,30315
Missouri University of Science and Technology,Rolla,MO,Public,30168
The University of the South,Sewanee,TN,Private,31737
University of Colorado Boulder,Boulder,CO,Public,27568
University of New Haven,West Haven,CT,Private,47457
York College of Pennsylvania,York,PA,Private,44077
Lackawanna College,Scranton,PA,Private,9496
Misericordia University,Dallas,PA,Private,46756
Miami University-Oxford,Oxford,OH,Public,29652
Maryville University of Saint Louis,Saint Louis,MO,Private,30657
University of Southern Indiana,Evansville,IN,Public,24427
Stetson University,DeLand,FL,Private,32601
Berklee College of Music,Boston,MA,Private,43826
Rocky Mountain College,Billings,MT,Private,26935
Lincoln College,Lincoln,IL,Private,7385
Maryville College,Maryville,TN,Private,29844
Saint Louis University,Saint Louis,MO,Private,34188
Wentworth Institute of Technology,Boston,MA,Private,58867
Clarkson University,Potsdam,NY,Private,29000
Glenville State College,Glenville,WV,Public,7917
University of Maryland-College Park,College Park,MD,Public,29133
University of Arkansas at Little Rock,Little Rock,AR,Public,24567
University of Illinois at Springfield,Springfield,IL,Public,24073
SUNY College at Plattsburgh,Plattsburgh,NY,Public,30919
Duquesne University,Pittsburgh,PA,Private,44243
William Jessup University,Rocklin,CA,Private,26856
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,Public,42611
George Fox University,Newberg,OR,Private,31299
William Jewell College,Liberty,MO,Private,37322
Columbus State University,Columbus,GA,Public,32587
Hanover College,Hanover,IN,Private,29190
California Baptist University,Riverside,CA,Private,36383
Lafayette College,Easton,PA,Private,30181
Rutgers University-Camden,Camden,NJ,Public,30737
Nazarene Bible College,Colorado Springs,CO,Private,36370
Hamline University,Saint Paul,MN,Private,36676
Wells College,Aurora,NY,Private,36804
Fort Lewis College,Durango,CO,Public,19429
St. John's College,Annapolis,MD,Private,20067
Messenger College,Bedford,TX,Private,32313
California University of Pennsylvania,California,PA,Public,42029
Syracuse University,Syracuse,NY,Private,37563
Brigham Young University-Provo,Provo,UT,Private,14672
Messiah College,Mechanicsburg,PA,Private,41859
New Mexico State University-Main Campus,Las Cruces,NM,Public,21429
Loyola University Chicago,Chicago,IL,Private,35030
Indiana Institute of Technology,Fort Wayne,IN,Private,20689
Rose-Hulman Institute of Technology,Terre Haute,IN,Private,47953
Shippensburg University of Pennsylvania,Shippensburg,PA,Public,37130
Stephen F Austin State University,Nacogdoches,TX,Public,26477
Cardinal Stritch University,Milwaukee,WI,Private,33553
McKendree University,Lebanon,IL,Private,28754
Lawrence University,Appleton,WI,Private,28828
La Roche University,Pittsburgh,PA,Private,33433
The Baptist College of Florida,Graceville,FL,Private,18945
Rogers State University,Claremore,OK,Public,13052
St. Mary's College of Maryland,St. Mary's City,MD,Public,25579
Texas A & M International University,Laredo,TX,Public,3477
University of Iowa,Iowa City,IA,Public,28328
King University,Bristol,TN,Private,29417
Lindenwood University,Saint Charles,MO,Private,33365
University of Indianapolis,Indianapolis,IN,Private,33953
University of Denver,Denver,CO,Private,27938
Indiana Wesleyan University-Marion,Marion,IN,Private,30355
Boston Baptist College,Boston,MA,Private,6384
National University,La Jolla,CA,Private,48851
New Mexico Institute of Mining and Technology,Socorro,NM,Public,20771
Manchester University,North Manchester,IN,Private,33838
University of Colorado Colorado Springs,Colorado Springs,CO,Public,23805
Truman State University,Kirksville,MO,Public,25660
The Sage Colleges,Troy,NY,Private,33740
Northern Illinois University,Dekalb,IL,Public,33915
Slippery Rock University of Pennsylvania,Slippery Rock,PA,Public,37450
Goddard College,Plainfield,VT,Private,29135
Southeastern Oklahoma State University,Durant,OK,Public,16832
Florida Gulf Coast University,Fort Myers,FL,Public,28581
University of Houston-Victoria,Victoria,TX,Public,6382
Angelo State University,San Angelo,TX,Public,24496
Eastern Michigan University,Ypsilanti,MI,Public,27475
Point Loma Nazarene University,San Diego,CA,Private,35374
Boise State University,Boise,ID,Public,27052
Campbell University,Buies Creek,NC,Private,32590
Emory & Henry College,Emory,VA,Private,30360
Elmira College,Elmira,NY,Private,27679
University of Akron Main Campus,Akron,OH,Public,28643
University of Notre Dame,Notre Dame,IN,Private,27460
Bethel College-North Newton,North Newton,KS,Private,5633
Virginia Military Institute,Lexington,VA,Public,35353
Western Oregon University,Monmouth,OR,Public,6815
California Institute of Technology,Pasadena,CA,Private,20192
Weber State University,Ogden,UT,Public,21690
Biola University,La Mirada,CA,Private,36330
Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,Public,34928
Aquinas College,Grand Rapids,MI,Private,30158
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,Public,24851
Kentucky Mountain Bible College,Jackson,KY,Private,7370
Alabama State University,Montgomery,AL,Public,3486
Albertus Magnus College,New Haven,CT,Private,34935
Christian Brothers University,Memphis,TN,Private,33649
Ithaca College,Ithaca,NY,Private,42000
CUNY Hunter College,New York,NY,Public,15096
Delaware Valley University,Doylestown,PA,Private,48278
Davidson College,Davidson,NC,Private,23535
Kansas City Art Institute,Kansas City,MO,Private,32607
Waynesburg University,Waynesburg,PA,Private,23316
Nazareth College,Rochester,NY,Private,49827
Davis College,Johnson City,NY,Private,9381
Mount Carmel College of Nursing,Columbus,OH,Private,35781
St. John's College,Santa Fe,NM,Private,26744
Marymount California University,Rancho Palos Verdes,CA,Private,24143
Hope International University,Fullerton,CA,Private,35427
Muhlenberg College,Allentown,PA,Private,32963
Culinary Institute of America,Hyde Park,NY,Private,51200
Dickinson State University,Dickinson,ND,Public,22971
Lake Forest College,Lake Forest,IL,Private,34587
Washington & Jefferson College,Washington,PA,Private,48582
Gardner-Webb University,Boiling Springs,NC,Private,31680
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,Public,12070
Boise Bible College,Boise,ID,Private,13828
University of Mississippi,University,MS,Public,33411
George Mason University,Fairfax,VA,Public,33362
Illinois Wesleyan University,Bloomington,IL,Private,34268
University of Wisconsin-Parkside,Kenosha,WI,Public,29551
St. Mary's University,San Antonio,TX,Private,34187
California State University-Fresno,Fresno,CA,Public,15181
Curry College,Milton,MA,Private,45947
Franciscan University of Steubenville,Steubenville,OH,Private,26579
College of William and Mary,Williamsburg,VA,Public,28895
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,Public,20859
University of Scranton,Scranton,PA,Private,41570
College of Coastal Georgia,Brunswick,GA,Public,23426
Saginaw Valley State University,University Center,MI,Public,31353
Providence College,Providence,RI,Private,44529
Lawrence Technological University,Southfield,MI,Private,32735
Whittier College,Whittier,CA,Private,35328
Midwestern State University,Wichita Falls,TX,Public,49146
Lake Superior State University,Sault Ste Marie,MI,Public,28259
Bryn Mawr College,Bryn Mawr,PA,Private,28772
Mount Saint Mary's University,Los Angeles,CA,Private,29482
Gallaudet University,Washington,DC,Private,10383
University of Washington-Tacoma Campus,Tacoma,WA,Public,16716
Indiana University of Pennsylvania-Main Campus,Indiana,PA,Public,41222
University of Houston-Downtown,Houston,TX,Public,4902
Saint John Fisher College,Rochester,NY,Private,37064
Augustana University,Sioux Falls,SD,Private,37647
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,Public,36499
Lincoln Memorial University,Harrogate,TN,Private,22290
St Bonaventure University,Saint Bonaventure,NY,Private,34877
Oklahoma Baptist University,Shawnee,OK,Private,25673
Wright State University-Main Campus,Dayton,OH,Public,28607
Marian University,Indianapolis,IN,Private,36167
Seattle Pacific University,Seattle,WA,Private,29782
Wheaton College,Norton,MA,Private,34530
Drury University,Springfield,MO,Private,37144
William Peace University,Raleigh,NC,Private,26929
Albion College,Albion,MI,Private,35529
Westminster College,Salt Lake City,UT,Private,25219
Samford University,Birmingham,AL,Private,29676
University of Arkansas,Fayetteville,AR,Public,27123
The College of New Jersey,Ewing,NJ,Public,38166
Pennsylvania State University-Penn State Scranton,Dunmore,PA,Public,39015
Iona College,New Rochelle,NY,Private,32948
College of the Holy Cross,Worcester,MA,Private,26258
Coastal Carolina University,Conway,SC,Public,37717
Nyack College,Nyack,NY,Private,28926
Bard College,Annandale-On-Hudson,NY,Private,28036
Avila University,Kansas City,MO,Private,22053
The Evergreen State College,Olympia,WA,Public,20488
Limestone College,Gaffney,SC,Private,33427
Monmouth University,West Long Branch,NJ,Private,26012
Gordon College,Wenham,MA,Private,35210
Catholic University of America,Washington,DC,Private,46702
Azusa Pacific University,Azusa,CA,Private,24867
SUNY at Albany,Albany,NY,Public,27555
Columbus College of Art and Design,Columbus,OH,Private,32258
Barry University,Miami,FL,Private,37228
University of Massachusetts-Amherst,Amherst,MA,Public,31755
Bethel University,Saint Paul,MN,Private,38286
University of Nevada-Las Vegas,Las Vegas,NV,Public,19605
Landmark College,Putney,VT,Private,6100
