name,state,region,adm_rate,num_undergrads,median_debt,median_debt_grads,median_earnings,bachelors_degree
Abilene Christian University,TX,6,0.634,3480,15040,24000,49294,1
Abraham Baldwin Agricultural College,GA,5,0.7599,3546,8750,17500,32130,1
AdventHealth University,FL,5,0.9087,1129,18142,25034,58788,1
Andrews University,MI,3,0.4878,1381,20750,26076,51909,1
Arizona Christian University,AZ,6,0.7147,883,7132,21500,37531,1
Art Center College of Design,CA,8,0.7609,1907,27563,31218,66407,1
Augsburg University,MN,4,0.7312,2487,19329,25000,53472,1
Ave Maria University,FL,5,0.9179,1048,12000,21500,45789,1
Baptist Health College Little Rock,AR,5,0.5,661,9500,10000,54924,0
Bard College,NY,2,0.5695,1932,19000,25910,43441,1
Beacon College,FL,5,0.4461,426,16313,25718,22833,1
Belanger School of Nursing,NY,2,0.4,143,13250,15250,67700,0
Bet Medrash Gadol Ateret Torah,NY,2,0.6923,142,NA,NA,NA,1
Beth Medrash Meor Yitzchok,NY,2,0.7375,187,NA,NA,NA,1
Binghamton University,NY,2,0.4303,14300,15000,18750,72980,1
Biola University,CA,8,0.6438,3683,19500,24273,47704,1
Bloomfield College,NJ,2,0.8465,1530,19500,27000,44790,1
Bluffton University,OH,3,0.6051,675,21500,27000,44911,1
Bolivar Technical College,MO,4,1,129,11000,15000,NA,0
Brandeis University,MA,1,0.334,3481,23250,25797,70327,1
Broome Delaware Tioga BOCES-Practical Nursing Program,NY,2,0.6087,63,9500,NA,40243,0
CUNY City College,NY,2,0.5054,11967,9500,12348,55741,1
CUNY Lehman College,NY,2,0.4701,12087,8500,10812,51661,1
Cabrini University,PA,2,0.6167,1463,19500,27000,53142,1
Cairn University-Langhorne,PA,2,0.8145,885,19000,27000,41013,1
California Jazz Conservatory,CA,8,1,35,NA,NA,NA,1
California State University-Chico,CA,8,0.9017,15689,14964,16931,56270,1
California State University-Monterey Bay,CA,8,0.8562,6456,11500,13750,53190,1
California State University-San Marcos,CA,8,0.7942,15016,12750,17134,54811,1
Carroll College,MT,7,0.7302,1093,21000,25602,57154,1
Carson-Newman University,TN,5,0.7932,1635,15000,22438,42546,1
Catawba College,NC,5,0.5212,1312,14486,25000,43015,1
Cedar Crest College,PA,2,0.5246,1078,21988,27000,52679,1
Cedarville University,OH,3,0.5933,3566,17500,21500,49074,1
Central Christian College of the Bible,MO,4,NA,164,10925,18058,33486,1
Central Connecticut State University,CT,1,0.6485,8402,16668,22000,52515,1
Central State University,OH,3,0.5804,4009,10250,31000,31922,1
Chaminade University of Honolulu,HI,8,0.8897,1623,19000,23235,44647,1
Chatham University,PA,2,0.6619,1119,16750,22250,42808,1
Clemson University,SC,5,0.6194,20796,19500,21500,63857,1
Colby-Sawyer College,NH,1,0.91,871,19500,27000,44780,1
