reviewer,publication,score,fresh_rotten,review_text
Rich Cline,Shadows on the Wall,3/5,rotten,"Like the Marvel franchise, this series has driven itself into a dead end, giving the audience what they want without anything new or surprising."
M.N. Miller,Ready Steady Cut,2/5,rotten,"The action sequences, fight scenes, and redundant head-scratching returns of characters are overdone to the point of exhaustion. That includes Momoa’s much-heralded villainous turn."
Sebastian Zavala Kahn,Me gusta el cine,2.5/5,rotten,"It's a LOT of movie, favouring quantity over quality. More characters, more Hollywood stars, more fights, more explosions, more digital effects, more flashbacks, more actions that defy the laws of physics... more everything! Full review in Spanish."
J. Don Birnam,Below the Line,D+,rotten,"The plot is too bloated by an enlarged cast, all of whom demand moments to shine in the sun, and a desire to outdo the prior installment's over the top special effects."
Tom Shone,Sunday Times (UK),3/5,fresh,And the two action set pieces that bookend its story are too wonderfully over the top to be spoilt by Louis Leterrier’s pell-mell direction.
Nick Johnston,Vanyaland,NA,fresh,"What Fast X embodies is the often-goofy amiability of the American blockbuster, and the innate charm that still gives it global appeal without the requisite amount of compromises that may assume it may need in our world-spanning modern cinema."
TK Burton,Pajiba,NA,fresh,"Fast X is unquestionably fun, even when it’s at its most unbelievable. With each passing sequence, you find yourself somewhere between rolling your eyes and grinning, knowing how preposterous it is and yet forgiving it anyway."
Abhishek Sharma,Film Threat,7/10,fresh,"It’s not the characters but the situation they are thrown into that’s grand, and to experience it in a theatre is enjoyable."
Alci Rengifo,Entertainment Voice,NA,rotten,The end of the line is becoming much more glaring as the tank truly starts running out of gas.
Kristy Puchko,Mashable,NA,fresh,"This is what summer movies should be! It's spectacular! It's thrilling! And it's the kind of movie you can't wait to yammer about to your friends. Truly, I walked out of Fast X with a big Momoa smile on my face, so wide it hurt."
James Marsh,South China Morning Post,3/5,fresh,"It is business as usual, as this unwieldy beast of a movie jet-sets around the world, destroying everything in its path, while ensuring sufficient screen time for each member of its bloated, star-studded cast."
Allen Almachar,The MacGuffin,C-,rotten,"There is no sense of revelation, no sense of surprise or burst of creative energy. Instead of seeing something new and exciting, we’re served yesterday’s leftovers."
Patrick Hicks,Feelin' Film Podcast,3/5,fresh,"Big, loud and very self aware, the latest FF entry is both fun & frustrating. No longer about good storytelling, stakes are low, stupidity is high, and burnout is starting to set in. It's time for the franchise to end."
Emily Wheeler,Emily Wheeler Movie Ops,NA,fresh,A garish celebration.
James Berardinelli,ReelViews,2/4,rotten,"Despite boasting a healthy 141-minute running time, Fast X is not a complete movie."
Michael Ward,Should I See It,1.5/5,rotten,"Written, it seems, from the mind of an 8-year-old..."
Korey Coleman,Double Toasted,NA,rotten,"These movies are all starting to repeat themselves. Watch this one for the spectacle and Jason Momoa, who is straight up a comic book supervillain."
Kat Hughes,Film Disclosure,3/5,fresh,"Fast X hits all the expected (and now familiar) tropes and beats, but this being the first in a multi-movie story, it is ultimately a little underwhelming… but regardless, we will all return for the next chapter like the dutiful cult members we are."
Candice McMillan,Seattle Refined,NA,fresh,"[Jason Momoa] is the glorious future of the Fast franchise, and we are furious it took this long for his debut."
Miles Surrey,The Ringer,NA,rotten,"The increasingly predictable, self-referential nature of the storytelling makes every subsequent film feel like a parody of itself—the cinematic equivalent of drifting around in circles."
Vincent Mancini,FilmDrunk,D,rotten,Discount action movie slurry.
Eddie Harrison,film-authority.com,3/5,fresh,"…the cheerful gang-show mentality still invests Fast and Furious franchise entries with an easy-going, undemanding guilty-pleasure charm, but it’s wearing a little thin by movie ten…"
Harris Dang,Impulse Gamer,3/5,fresh,"Even with the lack of family togetherness, resolve and behind-the-scenes faults, Fast X delivers exactly what fans would expect in terms of action and absurdity while surprising us with an entertainingly over-the-top Jason Momoa performance."
Kip Mooney,College Movie Review,B+,fresh,"Just when I thought this series was out of gas, Fast X hit the nitrous boost."
Abby Olcese,The Pitch,NA,fresh,"Much of Fast X is lots of fun, and the dynamics between the characters are as satisfying as ever"
Micheal Compton,Bowling Green Daily News,B-,fresh,"Is Fast X a good movie? Probably not. But is it a good time, that delivers exactly what the audience wants? Most definitely."
Cody Leach,Cody Leach (YouTube),3.25/5,fresh,"Fast X continues to deliver big, loud & dumb entertainment but it's diminishing returns with a forced and frustrating cliffhanger. Momoa's villain is a blast while the script, dialogue, and soap opera drama is among the weakest of the franchise."
Jeffrey M. Anderson,Common Sense Media,2/5,rotten,"The 10th official movie in this wildly popular franchise -- the first of a two-parter -- has the same, now-somewhat-tired formula: travel, stunts, fights, explosions, crashes, ""family"" talk, repeat."
Lupe Rodriguez Haas,CineMovie.tv,C,fresh,"The tenth installment is more of the same gravity-defying stunts and laughable dialogue but Jason Momoa fuels the action with humor. The script is also filled with fun moments that poke fun at the ""familia"" and the ridiculous car stunts."
Dana Han-Klein,We're Watching What?! Podcast,4.3/5,fresh,"It is 3 different movies at once. All lacking in logic, plot, and coherent character development. Yet somehow still a campy fun ride. Momoa makes for a flamboyant injection of life. Action wise the set pieces fail to meet the bar set by previous entries."
Alan French,Sunshine State Cineplex,4/10,rotten,We are at the point where we have to question what is going on here. Fast X is an empty experience and one of the worst entries in a spectacular franchise.
Kevin Carr,Fat Guys at the Movies,2.5/4,fresh,"This is by far the most ridiculous installment in the Fast & Furious franchise, and remember they drove a car into space in the last one."
Nestor Bentancor,Nestor Cine Desde Hollywood,NA,rotten,"It starts firing on all cylinders, but it's tiring mechanics take us along winding roads, better traveled in the past. A well-oiled amusement park ride in its day, the franchise is increasingly feeling like a creaking carousel. [Full Review in Spanish]"
Mike McGranaghan,Aisle Seat,3/4,fresh,"Pigs are flying, hell has frozen over, and monkeys are flying out of Wayne Campbell’s butt, because they finally made one of these that I enjoyed."
Theolin Tembo,Independent Online (South Africa),8/10,fresh,"Fast X delivers on upping the ante with the explosions and intricate fight choreography that will leave you pumped up. Charmingly, though, where the film hooks you most is the heart and love of family."
Fico Cangiano,CineXpress,2/5,rotten,"A tad better than the previous film, yet still one of the weakest entries of the whole franchise. Come for more absurd, silly action hijinks, stay for Jason Momoa's flashy, bonkers Dante Reyes - best villain of the series. [Full review in Spanish]"
Juanma Fernández París,El Nuevo Día (Puerto Rico),NA,rotten,"Its focus on shooting up adrenaline levels and on an impressive execution of the action, this time around directed by Louis Leterrier, is nullified by a script that doesn't seek anything new, just recycles and upsizes. [Full review in Spanish]"
Liz Shannon Miller,Consequence,B-,fresh,"The franchise hasn’t quite yet run out of ways to combine cars, guns, planes, and explosions… but perhaps it’s good that there are maybe only two films left until the franchise officially “ends.”"
Ryan Syrek,"The Reader (Omaha, NE)",F,rotten,"“Fast X” is dumb, ugly, and awkward. It is goofy in the bad way, not goofy in the awesome way or goofy in the “Gawrsh!” way, either of which would have been better."
