institution,control,state,admission_rate,act,debt_all,debt_graduates,earnings,completion_rate
Buena Vista University,Private (Non-Profit),IA,0.6598,25,17500,25000,47076,0.6278
Central College,Private (Non-Profit),IA,0.7452,25,20815,26984,53417,0.6614
Clarke University,Private (Non-Profit),IA,0.8878,23,19500,26717,50541,0.5449
Cornell College,Private (Non-Profit),IA,0.811,30,21500,27000,51898,0.6377
Dordt University,Private (Non-Profit),IA,0.7323,28,17500,21500,52342,0.741
Drake University,Private (Non-Profit),IA,0.6907,31,19500,23000,73451,0.7815
Emmaus Bible College,Private (Non-Profit),IA,0.9906,26,9350,15750,39334,0.7458
Faith Baptist Bible College and Theological Seminary,Private (Non-Profit),IA,0.5614,27,8750,12971,42315,0.56
Graceland University-Lamoni,Private (Non-Profit),IA,0.6662,24,14209,21212,45600,0.474
Grand View University,Private (Non-Profit),IA,0.9955,22,15097,22500,53256,0.5075
Grinnell College,Private (Non-Profit),IA,0.1054,34,14151,17500,62529,0.8688
Iowa State University,Public,IA,0.9112,28,18750,22869,60973,0.7605
Iowa Wesleyan University,Private (Non-Profit),IA,0.819,20,12000,23347,46798,0.225
University of Iowa,Public,IA,0.8621,29,18207,22500,62670,0.7372
Luther College,Private (Non-Profit),IA,0.7607,29,22200,27000,55451,0.7255
Mercy College of Health Sciences,Private (Non-Profit),IA,0.9697,22,12500,14745,56267,0.5789
University of Northern Iowa,Public,IA,0.8579,26,16486,19691,51651,0.6891
Northwestern College,Private (Non-Profit),IA,0.8302,27,16791,23249,49445,0.7077
Saint Ambrose University,Private (Non-Profit),IA,0.7241,27,19500,25000,57818,0.6443
Simpson College,Private (Non-Profit),IA,0.9083,27,20262,26000,52638,0.6894
Upper Iowa University,Private (Non-Profit),IA,0.6492,24,18000,25000,51790,0.3855
Wartburg College,Private (Non-Profit),IA,0.8275,26,19500,27000,55659,0.6989
William Penn University,Private (Non-Profit),IA,0.5768,21,12000,22415,45073,0.3214
Augsburg University,Private (Non-Profit),MN,0.7637,24,19500,25347,56814,0.5807
Bemidji State University,Public,MN,0.7495,25,13809,19750,50297,0.4759
Bethel University,Private (Non-Profit),MN,0.8868,28,18272,21500,58664,0.7431
Carleton College,Private (Non-Profit),MN,0.1755,35,15960,16750,70334,0.9145
Concordia College at Moorhead,Private (Non-Profit),MN,0.72,26,20895,26847,55054,0.7423
Martin Luther College,Private (Non-Profit),MN,0.9137,27,16606,20177,45759,0.7485
Gustavus Adolphus College,Private (Non-Profit),MN,0.7257,31,23250,26774,63218,0.784
Hamline University,Private (Non-Profit),MN,0.7643,26,15750,23770,57170,0.649
Macalester College,Private (Non-Profit),MN,0.3126,33,19500,23000,62762,0.8969
Minnesota State University-Mankato,Public,MN,0.6948,25,14000,21106,55008,0.5183
University of Minnesota-Twin Cities,Public,MN,0.7323,32,16727,19500,65087,0.8421
