participant_id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,rand
10390,Lindsey Napela Berg,F,28,173,77,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver,0.001109456
32384,Brady Lee Ellison,M,27,181,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Bronze,0.001368863
32384,Brady Lee Ellison,M,27,181,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Silver,0.002054056
29828,Marilou Dozios-Prvost,F,22,160,48,Canada,CAN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Flyweight,no,0.003428206
15947,Ashley Brzozowicz,F,25,176,75,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,no,0.003431779
29751,Robert Jeffrey Dover,M,44,178,68,United States,USA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",no,0.003497064
14139,Franois Bourque,M,21,182,88,Canada,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no,0.003573925
22901,Reid Coolsaet,M,37,173,62,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,no,0.00406875
28701,Valrie Dionne,F,24,173,72,Canada,CAN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,no,0.004163748
30272,Tanya Dubnicoff,F,30,170,68,Canada,CAN,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Women's 500 metres Time Trial,no,0.005055771
9058,Ronald Layne Beaubien,M,32,198,100,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver,0.005203429
7972,Tracy Barnes,F,23,157,48,United States,USA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no,0.005533107
8847,Allison Baver,F,29,160,57,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,0.005655306
22675,"Kimberley Frances ""Kim"" Conley",F,26,161,49,United States,USA,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres",no,0.006117522
22690,Kyle Connelly,M,21,180,89,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Men's Singles,no,0.007610577
29408,Sandra Donnelly,F,38,160,75,Canada,CAN,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",no,0.008452095
20599,Phillip Hung Chew,M,22,173,91,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,no,0.008587138
14862,Elaine Breeden (-Penrose),F,19,180,73,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,no,0.008854353
25774,Dominique Margaux Dawes (-Thompson),F,23,158,54,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,no,0.00937881
17515,Caroline Calv,F,35,177,73,Canada,CAN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Slalom,no,0.009459967
14347,Mackenzie Boyd-Clowes,M,18,183,69,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Team",no,0.010314638
11635,"Joshua ""Josh"" Binstock",M,31,196,99,Canada,CAN,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,no,0.011182895
23721,Rosanna Lee Crawford,F,25,180,67,Canada,CAN,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,no,0.011281944
395,Jennifer Abel,F,24,160,62,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,no,0.011528765
17097,"Patricia ""Tricia"" Byrnes",F,27,170,68,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Women's Halfpipe,no,0.011568387
32389,Steven Elm,M,30,185,82,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,000 metres",no,0.011585149
28745,Andre Dirrell,M,21,185,74,United States,USA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,Bronze,0.011626921
6899,Lowell Conrad Bailey,M,28,185,77,United States,USA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,no,0.012308036
19833,"Oscar Chaplin, III",M,24,167,81,United States,USA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,no,0.012510745
6899,Lowell Conrad Bailey,M,24,185,77,United States,USA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,no,0.012760471
21954,"William Bundu ""Will"" Claye",M,21,181,72,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,Bronze,0.01301445
1030,Martha Adusei,F,24,165,64,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,no,0.013168295
27263,Angelica Delgado,F,25,160,52,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,no,0.013172116
35488,Liam Firus,M,21,170,68,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Men's Singles,no,0.013551011
23732,Jill Craybas,F,34,160,56,United States,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,no,0.014625522
23723,Shawn Crawford,M,26,181,86,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,Gold,0.015319009
21181,Amy Yuen-Yee Chow (-Ho),F,22,155,44,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,no,0.016649921
35523,Makenzie Fischer,F,19,186,74,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold,0.01686134
30644,Evan Dunfee,M,25,182,70,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,no,0.01687782
4742,Gillian Mary Apps,F,22,180,80,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,0.017687298
15005,Eric Charles Brewer,M,22,191,100,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,0.017719308
