name,sub,views,likes,comments
Aaron Murphy,4700000,1500000,173400,1400
Kevin Gates,2100000,3500000,413600,9400
Cale Brown,5e+06,2700000,459500,1500
JustTheNobodys,7100000,1400000,175800,2200
Vanessa Lopes,21300000,5900000,637100,6400
𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1100000,1600000,171300,2400
Lele Pons,26800000,2200000,307400,1900
icebox,6200000,3e+06,277200,3300
แจ็ก แปปโฮ,6300000,2800000,344100,766
Andrew Schulz,3e+06,4e+06,602200,2200
Jack Harlow,3300000,8300000,837000,4900
vzelivx,731300,2100000,271200,2600
veydi_rush,8e+06,2900000,456800,2600
Monika Kociołek,2600000,1200000,196800,6600
バヤシ🥑Bayashi,24100000,7700000,958000,5800
INSTASAMKA,12400000,1800000,227900,2700
🇮🇩 BAGUS ISTRI 🇮🇩,4900000,2500000,154500,1600
Ghét môn Toán =))),87700,2600000,367500,3300
PINAT🍅|| IG: @hesfinatia,8300000,8600000,936900,1800
HOSHIN,11400000,1100000,250800,4100
Olivia Dunne,5100000,2700000,316000,4900
dudamaryah,4100000,3e+06,340700,2000
Bạn Tấn chúa tể nỗi buồn,777600,1600000,153100,2700
avani,40400000,1800000,237600,2100
Savanah Moss,9300000,4500000,703000,4100
Addison Rae,87300000,9300000,1200000,13400
Crispy Concords,1200000,2900000,4e+05,986
missmarymmouser,2900000,1900000,255500,2700
KeniaOs,13700000,2200000,371200,7500
Chris Bumstead,2e+06,2e+06,389100,2600
Berk Keklik,1e+06,5200000,394700,2100
cocinaconcoqui,2e+06,1400000,278300,628
Lea Elui,1.7e+07,2800000,375900,1100
Rebeca Barreto,21900000,2300000,297700,3000
Jumpers Jump Podcast,6400000,2100000,220100,1700
nourmar5,14300000,1300000,145900,13000
Alex warren,15200000,4600000,769000,1300
Heyimparis,12700000,5e+06,609500,3600
Modeli,1900000,1800000,404300,2700
Måneskin,5400000,1100000,214000,2900
Razi Monroe,6800000,6400000,586300,2800
Gerti & Megi,2500000,4e+06,162300,904
GB and ME,5700000,1600000,250100,4800
PumbaCaracal,3500000,2100000,130900,3300
LOURD,8700000,2400000,592100,5300
sinadeinert,5500000,967700,207500,4600
🕷,259400,3300000,291200,5500
𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,3500000,1800000,299800,3800
natalie & the aguilars,4200000,2800000,373600,702
arianagrande,26600000,1400000,333900,3900
