id_num,winery,designation,points,price,country,province,variety,description
2012,Rene Mure,Signature,90,25,France,Alsace,Pinot Noir,"Very pure notes of cherry and strawberry pervade this wine. They are perfumed with a slight conifer scent that spells freshness and lifted ease. The palate has an unforced, elegant concentration. This is charming and fresh, with convincing depth, purity and a lasting, fresh finish."
3581,McCay Cellars,Bechthold Vineyard,89,39,US,California,Cinsault,"Earthy, beefy, almost metallic aromas, then beefy, tamarind-like flavors make an exotic but rustic profile for this fascinating medium-bodied wine. The texture is rather lean and a tasty sour-cherry character develops on the finish."
3748,Pata Negra,Crianza,87,10,Spain,Northern Spain,Tempranillo Blend,"Savory, slightly saucy aromas of plum, berry, tomato and leather come with a hint of oak. This is a bit choppy and tannic, with savory, roasted flavors of tomato, plum, currant and spice. A touch of saltiness and raw-oak flavor rise up on the finish."
8809,Quintet,Flanerie Vineyard,91,48,US,Oregon,Pinot Noir,"Here on display are all the elegance, finesse and ultimate power possible in wines from this exceptional AVA. Tart raspberry fruit, stiff tannins and supporting acids are nuanced with citrus, herb and a light touch of vanilla. Drink this from 2020 to 2030."
12755,Williams Selyem,Rochioli Riverblock Vineyard,92,79,US,California,Pinot Noir,"Tart cranberry acidity marks this dry, delicately structured young wine. Dusty with tannins, the mouthfeel is tight and nervous. At the core are complex layers of forest berries, cola, mushrooms, exotic baking spices and sweet cedar. Give the wine at least six years in a cellar to mature—it should be flying high by 2029."
13982,Dumas Station,Estate,90,30,US,Washington,Cabernet Franc,"Exceptionally smooth for such a young wine, this deeply-fruited red blends pretty raspberry and cherry flavors with seductively-delicious milk-chocolaty barrel notes. Happily, there is enough natural acidity to keep it lively and fresh."
14826,Giribaldi,NA,92,49,Italy,Piedmont,Nebbiolo,"A fine example of a Barolo, and a marvel considering the problems of the 2002 harvest. The fruit is dark and juicy with plenty of concentration, with the added complexity of roses and pencil shavings. Nicely textured, with a medium to long finish. Imported by Global E. Selections, LLC."
15359,Collovray et Terrier,Plenitude de Bonte,90,30,France,Burgundy,Chardonnay,"“Fullness and goodness” is a rough translation of the name of this wine. It's an accurate description of its richness. There is great spice, bolstering the full fruit, showing a mineral, chalky structure along with fresh green fruits."
15529,Joullian,Estate Reserve,89,26,US,California,Sauvignon Blanc,"This is very rich and complicated, with oak and lees adding creamy, smoky notes to the ripe citrus, peach and pear flavors. It seems a little candied, in the California way, but it's clean and varietally proper."
23342,Tenuta Carlina,La Togata,86,28,Italy,Tuscany,Sangiovese Grosso,"This dark Rosso opens with aromas of dark fruit and bramble, with subtle background hints of wild mushroom and cured meat. Endnotes of crushed black pepper and crushed clove bring up the rear."
25223,Terlato,Block 9,88,48,US,California,Syrah,"A big, ripe, exuberant wine, offering a mouthful of blackberry, blueberry and cherry jam and oak flavors. The wine was fermented in 100% new French barrels. It's a bit aggressive in both oak tannins and fruit, but such is the balance that 4–5 years in the cellar could make it more interesting."
25709,Parras Vinhos,Castelo do Sulco Colheita,86,9,Portugal,Lisboa,Portuguese Red,"Elegant, fresh wine, full of delicious red berry fruits, a fruit salad of red and black plums and a light touch of spice. Bright, juicy, ready to drink."
32570,Sordo,Monvigliero,88,65,Italy,Piedmont,Nebbiolo,"Aromas of black cherries marinated in spirits, menthol, leather and chopped herbs lead the nose on this brawny wine. The hefty palate shows the heat of the vintage, offering dried berries, licorice, tobacco and mocha alongside the warmth of evident alcohol and jarring tannins. Give it a few years to let the tannins soften up a bit but then drink before the fruit dries up."
32760,Cuvee Wine Cellars,NA,87,23,US,California,Chardonnay,"Oily in green apple and lime, this crowd-pleasing wine is supple and smooth, with touches of honey and vanilla, especially on the finish. With a lilting ripeness at its core, it will pair well with roasted chicken in herbs."
33217,Fontes & Phillips,La Encantada Vineyard,90,52,US,California,Pinot Noir,"Forward in jammy raspberry and cherry fruit, this Pinot's ripeness is balanced with crisp acidity. It's a flashy wine, quite typical of the vineyard, for drinking now and over the next six years."
33505,Viña Decana,Crianza,85,5,Spain,Levante,Tempranillo,"This is solid stuff for the price, with berry and pencil eraser aromas. It feels more soft than hard, with a jammy mouthfeel and grabby tannins in front of berry and plum flavors that turn medicinal."
34684,Rare,4 Grape Blend,84,10,US,California,Red Blend,"Here's a good, robust red wine. It's made in a country-style, with tobacco, cherry and spice flavors and a jagged mouthfeel. Drink it with tacos and burgers."
37063,Q,NA,87,14,US,California,Cabernet Sauvignon,"A good Cabernet for the price. It's made for drinking now, with ripe blackberry and cherry fruit flavors, kissed with smoky oak."
40783,Paul Jaboulet Aine,Domaine de Roure,88,63,France,Rhone Valley,Syrah,"With its soft tannins and slightly creamy texture, the open-knit 2006 Domaine de Roure is very approachable now. Vanilla and plum notes come across as slightly oaky, but hints of olive and espresso emerge on the finish. Drink now–2015."
41342,Cinnabar,Reserve Rows Amber Knolls Vineyard,89,65,US,California,Cabernet Sauvignon,"A 100% Cabernet Sauvignon, with a mere 25 cases produced, it's soft in minty tannins and streams of acidity. It reveals cedar and light black cherry fruit and finishes big and smoky. Age 2019–2024, the structure is definitely there."
41661,Trapiche,Broquel,87,15,Argentina,Mendoza Province,Bonarda,"Dry oak, pepper and wood resin are prominent on the bouquet, which also brings minty black fruit scents and finally a pinch of sawdust. The palate is boosted by firm acids and tannins, while the flavors of baked berry and black plum are driving. A lot of oak and bite here, but also plenty of dark fruit."
44448,Wines & Winemakers,Azul Portugal,90,10,Portugal,Dao,Portuguese Red,"Classic tannic Dão Touriga Nacional, packed with minerality, dark and dry tannins, firm and with a good juicy final character. Part of a range of wines from across the country under the name Azul Portugal."
46429,Cantine Sant'Agata,Baby,85,10,Italy,Piedmont,Barbera,"The bouquet is fragrant and pulsating with vibrant hues of raspberry, blueberry and white almond skin. Barbera d'Asti is known for its natural freshness and the integrity of its small berry flavors. This well-priced wine has both."
47253,Chateau Ponzac,Patiemment,89,25,France,Southwest France,Malbec,"Ripe, smooth and balanced, this wine shows firm tannins and a solid, chunky build. With its rich black-plum fruit and opulent texture, it will be ready to drink in 2–3 years."
48138,Navarro,Premiere Reserve,88,25,US,California,Chardonnay,"An ultrazesty, lemony Chardonnay, this has razor-sharp acidity that should mellow out when paired with the right foods, like seafood in a creamy sauce."
53148,Lava Cap,Reserve,84,30,US,California,Petite Sirah,"Lots of berry, currant, cocoa and bacon flavors in this wine, and also plenty of tannins. Good, but turns soft, hot and a little jammy-candied toward the finish."
53262,Tokara,Director's Reserve,91,44,South Africa,Stellenbosch,Bordeaux-style Red Blend,"A blend of 78% Cabernet Sauvignon, 12% Petit Verdot, 5% Merlot and 5% Malbec, this is a tight, focused selection, with excellent precision to the black plum, blackberry, dried raspberry and cassis fruit core. Well-integrated accents of leather, cigar box and pine resin add depth and complexity. The medium-weight palate is structured yet elegant, with fine-grain, lingering tannins. Drink now through 2020."
53737,Dezzani,Ronchetti,83,18,Italy,Piedmont,Barbera,Sweet aromas of ripe berry fruit and some earth tones create a slightly awkward nose that lacks balance. Those mature fruit notes come on a bit too strong and the wine ends with bitter fruit aromas. The mouthfeel is characterized by good acidity and good density.
55178,Dumas Station,NA,91,26,US,Washington,Merlot,"This Right Bank-styled blend includes 19% Cabernet Franc and 5% Petit Verdot. Despite its high (15.3%) alcohol, it's a meaty, complex wine that drinks much lighter. The berry/cherry fruit flavors are woven into a tapestry of earth, herb and spice, smooth and detailed, and the wine has a mouth-pleasing seamless quality that invites another sip, and another."
55561,Milbrandt,Traditions,90,15,US,Washington,Merlot,"From a mix of Milbrandt vineyard sites, this outstanding blend includes small amounts of Cabernet, Syrah, Malbec and Barbera. The blend was so well done that each component adds a vital piece to the whole—smooth berry and cherry fruits, spice, tobacco, licorice and smoke, folding into a lush and chocolaty finish."
56277,Jasper,Black Road,83,13,US,Iowa,White Blend,"This exotic white blend from Iowa offers aromas of orange and citrus with a minerally zip, and on the palate, is a bit on the sweet and curvy side. Not terribly inspired but still pretty, it will pair well with Asian cuisine."
56727,Alpha Omega,Beckstoffer To Kalon,97,130,US,California,Cabernet Sauvignon,"Awesome Cabernet from this esteemed vineyard in Oakville. Defines the modern Napa style in the perfectly ripe black currant and blackberry fruit, and the ultra-refined tannins. Hard to exaggerate the depth and length, the sheer opulence of this 100% Cab. It was aged in 80% new French oak, which adds even richer notes of wood smoke and sweet vanilla. Should evolve slowly through 2020, but only 75 cases were produced."
57089,Spier,Vintage Selection Shiraz-Mourvedre-Viognier,87,18,South Africa,Coastal Region,Rhône-style Red Blend,"Foliage and black pepper adds complexity to the strong raspberry, red plum and strawberry characteristics of this wine. It's straightforward but enjoyable with gentle tannins and a smoky, bacon-nuanced finish. Drink now."
60594,Robert Young,Scion,92,54,US,California,Cabernet Blend,"Robert Young's Scion has become the quintessential Alexander Valley Cab. The opposite of a big Napa Cab, it has a soft, gentle texture, with good cherry and anise flavors, and a rich gout de terroir earthiness. Not an ager, it's among the best drink-now Cabs of the vintage."
61559,JM Cellars,NA,93,32,US,Washington,Chardonnay,"All Milbrandt fruit has created a sappy, buttery and bright Washington Chardonnay. It bursts upon the palate with a beautiful mix of tropical fruits and caramel. Flavors are rich, persistent and lush. You want more long after the bottle has been drained."
63766,Bodega Catena Zapata,Nicasia Vineyard,96,123,Argentina,Mendoza Province,Malbec,"Features intoxicating pastry, blueberry, cola and coffee aromas in front of a minerally, terroir-packed palate of soft black fruit, chocolate, fine herbs and other character-aiding touches. The mouthfeel is fabulous and the finish of Swiss chocolate and integrated spice is as smooth as silk. Drink now through 2011."
63936,Rulo,NA,94,40,US,Washington,Cabernet Sauvignon,"The 2002 Cabernet Sauvignon was the only other stand-alone Cab made from Rulo. This is 100% Cabernet, and a pure expression of Red Mountain. That purity is a hallmark of Rulo; clean and expressive, with a tight focus. Dense, ripe, black fruits, black olive, earth and rock, with a kiss of spice. It's a singularity expressed beautifully, dense and smoky and earthy and tannic, long and lush and lovely."
65118,Vallformosa,Chantal Brut Rosé,85,20,Spain,Catalonia,White Blend,"Dusty cherry aromas start out full and turn more green and grassy with time. Sweet grapefruit and tang carry the palate, and the finish is a rush of acidity. Good but odd."
68821,Bodegas Roda,Roda I,91,73,Spain,Northern Spain,Tempranillo,"A sweet, ripe, jammy style for Roda I, with smooth tannins, corpulence and more than adequate minerality and power. This is not a flabby wine despite the heat of the vintage, and the lush cassis, blackberry and mocha notes come together on the back palate and finish."
70716,Chateau Landat,NA,90,16,France,Bordeaux,Bordeaux-style Red Blend,"A dense wine, with strong elements of its wood aging still prominent, and smoothing out the tannins. It has power, a dark texture and superripe almost jammy fruits. The final has mint, spice and sweet plum juice."
70770,Felton Road,NA,90,31,New Zealand,Central Otago,Riesling,"Felton Road's Riesling perfectly balances sugars and acids in a sweet, delicate style centered on limes, green apples and crushed stones. The finish is crisp and racy, leaving behind a lingering sensation of sweetness."
71908,Boudreaux Cellars,NA,91,45,US,Washington,Merlot,"This has a lovely entry that explodes with scents of toasted almond and espresso. The black cherry and sour plum flavors command your attention, with texture and balance throughout. Drink soon."
