country,year,world_region,gdp_nominal,gdp_per_capita,mortality_both,mortality_male,mortality_female,life_expect_both,life_expect_male,life_expect_female,fertile_rate,males_per_female_at_birth,birth_rate,death_rate,growth_rate,population,area
Afghanistan,2019,South Asia,19291104008,507.1034319,46.5,49.8,43.1,64.833,63.382,66.388,61.325,1.06,31.802,6.285,2.311817217,38041754,652860
Albania,2019,Europe & Central Asia,15279183290,5353.244856,8.6,9.5,7.7,78.573,77.002,80.201,19.5028,1.084,11.62,8.082,-0.426007367,2854191,28750
Algeria,2019,Middle East & North Africa,1.71E+11,3973.964072,20,21.3,18.6,76.88,75.676,78.133,9.5966,1.05,23.583,4.716,1.933950191,43053054,2381741
Angola,2019,Sub-Saharan Africa,88815697793,2790.726615,50.2,55.3,44.9,61.147,58.416,64.039,145.39,1.03,40.232,7.981,3.242982603,31825295,1246700
Antigua and Barbuda,2019,Latin America & Caribbean,1661962963,17112.82113,5.8,6.2,5.3,77.016,75.858,78.104,40.88,1.03,15.107,6.422,0.860380481,97118,440
Argentina,2019,Latin America & Caribbean,4.45E+11,9912.281809,8.2,9.2,7.3,76.667,73.242,79.995,62.3488,1.04,16.833,7.604,0.993397493,44938712,2780400
Armenia,2019,Europe & Central Asia,13672802158,4622.733493,10.5,11.6,9.4,75.087,71.327,78.516,20.282,1.106,13.646,9.835,0.201539723,2957731,29740
Aruba,2019,Latin America & Caribbean,,,,,,76.293,73.768,78.641,19.6732,1.05,11.756,9.205,0.442121959,106314,180
Australia,2019,East Asia & Pacific,1.40E+12,55057.2047,3.1,3.3,2.8,82.9,80.9,85,10.9366,1.055,12.1,6.7,1.521653677,25365745,7741220
Austria,2019,Europe & Central Asia,4.45E+11,50121.55421,2.8,3.1,2.6,81.79268293,79.5,84.2,6.7488,1.055,9.6,9.4,0.444673639,8879920,83879
Azerbaijan,2019,Europe & Central Asia,48047647059,4793.125559,18.2,20.1,16.3,73.005,70.511,75.455,57.1572,1.123,14.1,5.6,0.846646726,10024283,86600
"Bahamas, The",2019,Latin America & Caribbean,13578800000,34863.7421,10.9,11.6,10.1,73.918,71.659,76.081,28.4498,1.057,13.882,6.841,0.991335935,389482,13880
Bahrain,2019,Middle East & North Africa,38574069149,23503.97713,5.9,6.1,5.7,77.292,76.436,78.423,13.11,1.039,13.622,2.408,4.469239009,1641172,780
Bangladesh,2019,South Asia,3.03E+11,1855.739824,25.6,27.3,23.8,72.591,70.877,74.595,81.6636,1.049,17.868,5.526,1.042001128,163046161,147570
Barbados,2019,Latin America & Caribbean,5209000000,18148.24493,11.7,12.8,10.6,79.19,77.814,80.482,28.7104,1.036,10.621,9.068,0.133875829,287025,430
Belarus,2019,Europe & Central Asia,63080457023,6697.968615,2.4,2.7,2.1,74.22682927,69.3,79.4,12.9962,1.063,9.3,12.8,-0.694662243,9417849,207600
Belgium,2019,Europe & Central Asia,5.33E+11,46345.40329,2.7,3.1,2.4,81.74634146,79.6,84,4.4898,1.05,10.1,9.5,0.659843636,11502704,30530
Belize,2019,Latin America & Caribbean,1879613600,4815.163711,10.6,11.6,9.5,74.623,71.65,77.843,67.611,1.03,20.51,4.756,1.883110736,390353,22970
Benin,2019,Sub-Saharan Africa,14390709095,1219.432672,59,64.4,53.3,61.771,60.201,63.324,81.9768,1.041,35.831,8.718,2.715105359,11801151,114760
Bermuda,2019,North America,7484113000,116889.9527,,,,81.86658537,78.13,85.79,,,8.3,8.4,0.167396746,64027,4290
Bhutan,2019,South Asia,2530547158,3316.175714,23.8,26,21.5,71.777,71.405,72.176,17.606,1.04,17.012,6.251,1.146382274,763092,38390
Bolivia,2019,Latin America & Caribbean,40895322844,3552.06876,21.2,23.3,18.9,71.513,68.684,74.508,62.9084,1.05,21.455,6.762,1.399098368,11513100,1098580
Bosnia and Herzegovina,2019,Europe & Central Asia,20164193807,6108.510696,5.1,5.5,4.6,77.401,74.893,79.857,8.656,1.059,7.938,10.877,-0.692206409,3301000,51210
Botswana,2019,Sub-Saharan Africa,18340480936,7961.325181,32.3,35.3,29.1,69.592,66.485,72.386,44.655,1.031,24.234,5.708,2.175290909,2303697,581730
Brazil,2019,Latin America & Caribbean,1.84E+12,8717.186278,12.4,13.9,10.9,75.881,72.243,79.555,56.6606,1.05,13.703,6.531,0.751548427,211049527,8515770
