country,life_expect
Afghanistan,62.58
Albania,76.99
Algeria,74.45
Angola,62.26
Antigua and Barbuda,78.84
Argentina,75.89
Armenia,72.17
Aruba,75.72
Australia,83.2
Austria,81.19
Azerbaijan,66.87
"Bahamas, The",72.68
Bahrain,79.17
Bangladesh,71.97
Barbados,77.39
Belarus,74.23
Belgium,80.8
Belize,72.85
Benin,60.09
Bermuda,82.06
Bhutan,71.61
Bolivia,64.47
Bosnia and Herzegovina,76.22
Botswana,65.65
Brazil,74.01
British Virgin Islands,75.85
Brunei Darussalam,74.8
Bulgaria,73.61
Burkina Faso,59.73
Burundi,61.57
Cabo Verde,74.81
Cambodia,70.42
Cameroon,60.83
Canada,81.75
Central African Republic,54.6
Chad,52.78
Channel Islands,81.26
Chile,79.38
China,78.08
Colombia,74.77
Comoros,64.17
"Congo, Dem. Rep.",59.74
"Congo, Rep.",63.78
Costa Rica,79.28
Cote d'Ivoire,59.03
Croatia,77.72
Cuba,77.57
Cyprus,81.39
Czechia,78.23
Denmark,81.55
Djibouti,62.69
Dominican Republic,72.89
Ecuador,72.15
"Egypt, Arab Rep.",70.99
El Salvador,71.06
Equatorial Guinea,60.71
Eritrea,67.13
Estonia,78.35
Eswatini,59.69
Ethiopia,65.37
Euro area,81.54
Faroe Islands,83.09
Fiji,67.92
Finland,82.13
France,82.18
French Polynesia,82.22
Gabon,66.53
"Gambia, The",62.61
Georgia,72.77
Germany,80.94
Ghana,64.11
Gibraltar,82.2
Greece,81.09
Greenland,71.4
Grenada,74.92
Guam,76.61
Guatemala,71.8
Guinea,59.33
Guinea-Bissau,60
Guyana,68.49
Haiti,64.05
Honduras,71.46
"Hong Kong SAR, China",85.39
Hungary,75.62
Iceland,83.07
India,70.15
Indonesia,68.81
"Iran, Islamic Rep.",74.83
Iraq,69.12
Ireland,82.2
Isle of Man,80.59
Israel,82.7
Italy,82.34
Jamaica,71.87
Japan,84.62
Jordan,75.18
Kazakhstan,71.37
Kenya,62.67
Kiribati,67.27
"Korea, Dem. People's Rep.",73.27
"Korea, Rep.",83.43
Kosovo,76.57
Kuwait,76.92
Kyrgyz Republic,71.8
Lao PDR,68.5
Latvia,75.39
Lebanon,77.8
Lesotho,54.69
Liberia,60.95
Libya,72.47
Liechtenstein,81.81
Lithuania,74.93
Luxembourg,81.74
"Macao SAR, China",85.18
Madagascar,65.18
Malawi,63.72
Malaysia,75.94
Maldives,79.88
Mali,58.63
Malta,82.65
Mauritania,64.53
Mauritius,74.18
Mexico,70.13
"Micronesia, Fed. Sts.",70.67
Middle income,71.71
Moldova,70.17
Mongolia,72.14
Montenegro,75.93
Morocco,73.92
Mozambique,61.17
Myanmar,66.8
Namibia,62.83
Nepal,69.25
Netherlands,81.41
New Caledonia,80.83
New Zealand,82.06
Nicaragua,71.8
Niger,61.45
Nigeria,52.89
North America,77.74
North Macedonia,75.69
Norway,83.21
Oman,74.76
Pakistan,66.27
Panama,76.66
Papua New Guinea,65.79
Paraguay,73.18
Peru,73.67
Philippines,72.12
Poland,76.6
Portugal,80.98
Puerto Rico,78.04
Qatar,79.1
Romania,74.35
Russian Federation,71.34
Rwanda,66.77
Samoa,72.77
Sao Tome and Principe,67.78
Saudi Arabia,76.24
Senegal,68.01
Serbia,74.23
Seychelles,77.24
Sierra Leone,59.76
Singapore,83.74
Slovak Republic,76.87
Slovenia,80.53
Solomon Islands,70.2
Somalia,55.97
South Africa,65.25
South Sudan,55.48
Spain,82.33
Sri Lanka,76.39
St. Lucia,73.42
St. Martin (French part),80.15
St. Vincent and the Grenadines,72.13
Sudan,65.61
Suriname,72.56
Sweden,82.41
Switzerland,83.1
Syrian Arab Republic,72.14
Tajikistan,67.99
Tanzania,66.41
Thailand,79.27
Timor-Leste,68.47
Togo,61.03
Tonga,70.93
Trinidad and Tobago,74.41
Tunisia,75.29
Turkiye,75.85
Turkmenistan,68.69
Turks and Caicos Islands,75
Tuvalu,64.38
Uganda,62.85
Ukraine,71.19
United Arab Emirates,78.95
United Kingdom,80.9
United States,77.28
Uruguay,78.43
Uzbekistan,70.33
Vanuatu,70.3
"Venezuela, RB",71.09
Vietnam,75.38
Virgin Islands (U.S.),79.82
West Bank and Gaza,74.4
"Yemen, Rep.",64.65
Zambia,62.38
Zimbabwe,61.12
